,Product Image Is Thumbnail - 2,Product Image Description - 2,Product UPC/EAN,Product Image Sort - 5,Free Shipping,Product Image Path - 3,Product Image Path - 4,Allow Purchases?,Page Title,Price,Product Image File - 5,Product Image Path - 1,Width,Product Image URL - 5,Brand Name,Product Image Index - 4,Product Image Index - 1,Track Inventory,Product Image ID - 3,Product Image Description - 1,Product Image Description - 3,Product Image Sort - 4,Product Image ID - 5,Product Image Path - 5,Fixed Shipping Price,Product Image Sort - 2,Product Type,Product Image Index - 2,Product Image URL - 4,Product Inventoried,Product Image File - 3,Product Image Path - 2,Height,Sale Price,Product ID,Product Image Is Thumbnail - 5,Product Image URL - 1,Product Image ID - 4,Product Name,Product Image File - 1,Product Image URL - 3,Category,Product Image Description - 5,Product Image Is Thumbnail - 4,Option Set,Search Keywords,Product Visible?,Description,Product Image ID - 2,Product Image Index - 5,Product Image Is Thumbnail - 3,Meta Description,Product Image Description - 4,Product Warranty,Product Description,Product Image File - 4,Depth,Product Image File - 2,Product Image ID - 1,Product Code/SKU,Current Stock Level,Product Image Sort - 3,Product Image Is Thumbnail - 1,Product Image Index - 3,Cost Price,Item Type,Product Image Sort - 1,Meta Keywords,Product Image URL - 2,Retail Price,Product Weight
43857,,"X2, /, Lunar, 19-20, Dragon, Optical, GOLDION, ",886895397803,5.0,,,,N,X2 / Lunar 19-20,220.0,,,,,Dragon Optical,,,by product,,"X2, /, Lunar, 19-20, Dragon, Optical, GOLDION, ","X2, /, Lunar, 19-20, Dragon, Optical, GOLDION, ",4.0,,,,2.0,P,,,Y,,,,220.0,,,,,X2 / Lunar 19-20,,,Gear/Goggles/Adult,"X2, /, Lunar, 19-20, Dragon, Optical, GOLDION, ",,X2 / Lunar 19-20,"X2, /, Lunar, 19-20, Dragon, Optical, GOLDION, ",N,,,,,,"X2, /, Lunar, 19-20, Dragon, Optical, GOLDION, ",,,,,,,2-30633,0.0,3.0,,,93.5,Product,1.0,"X2, /, Lunar, 19-20, Dragon, Optical, GOLDION, ",,220.0,0.0
43858,,"X2, /, Midnight, 18-19, Dragon, Optical, BLI, ",886895355865,5.0,,,,Y,X2 / Midnight 18-19,220.0,,,,,Dragon Optical,,,by product,,"X2, /, Midnight, 18-19, Dragon, Optical, BLI, ","X2, /, Midnight, 18-19, Dragon, Optical, BLI, ",4.0,,,,2.0,P,,,Y,,,,159.0,,,,,X2 / Midnight 18-19,11141_0.jpg,,Gear/Goggles/Adult,"X2, /, Midnight, 18-19, Dragon, Optical, BLI, ",,X2 / Midnight 18-19,"X2, /, Midnight, 18-19, Dragon, Optical, BLI, ",Y,,,,,"Our ultra-premium X2 snow goggle fixates on performance and comfort. Expanded peripheral vision due to our Patented Frameless Design, best-in-class clarity due to our Lumalens® color optimized technology, 100% UV protection and a bonus replacement lens, to boot. The X2 utilizes the Swiftlock lens changing system, the easiest and most secure way to change your bonus replacement lens.","X2, /, Midnight, 18-19, Dragon, Optical, BLI, ","<ul>
<li>Large Fit </li>
<li>Swiftlock Lens Change System: Simply flip the levers up to release the lens, insert the new lens, and lock it down to instantly adapt to changing light conditions.  </li>
<li>Patented Frameless Technology  </li>
<li>Optically Correct 6-Base Injected Spherical Lens </li>
<li>200% Super Anti-Fog Coating </li>
<li>Armored Venting: Easily clear out snow and packed vents  </li>
<li>100% UV Protection </li>
<li>Triple Layer Face Foam w/ Hypoallergenic Micro Fleece Lining </li>
<li>Silicone Strap Backing </li>
<li>Helmet Compatible </li>
</ul>","Our ultra-premium X2 snow goggle fixates on performance and comfort. Expanded peripheral vision due to our Patented Frameless Design, best-in-class clarity due to our Lumalens® color optimized technology, 100% UV protection and a bonus replacement lens, to boot. The X2 utilizes the Swiftlock lens changing system, the easiest and most secure way to change your bonus replacement lens.",,,,,2-11141,1.0,3.0,,,93.5,Product,1.0,"X2, /, Midnight, 18-19, Dragon, Optical, BLI, ",,220.0,0.0
43859,,"X2, /, Murkywaters, 19-20, Dragon, Optical, DRKSMOKE, ",886895397636,5.0,,,,Y,X2 / Murkywaters 19-20,220.0,,,,,Dragon Optical,,,by product,,"X2, /, Murkywaters, 19-20, Dragon, Optical, DRKSMOKE, ","X2, /, Murkywaters, 19-20, Dragon, Optical, DRKSMOKE, ",4.0,,,,2.0,P,,,Y,,,,220.0,,,,,X2 / Murkywaters 19-20,30634_0.jpg,,Gear/Goggles/Adult,"X2, /, Murkywaters, 19-20, Dragon, Optical, DRKSMOKE, ",,X2 / Murkywaters 19-20,"X2, /, Murkywaters, 19-20, Dragon, Optical, DRKSMOKE, ",Y,,,,,,"X2, /, Murkywaters, 19-20, Dragon, Optical, DRKSMOKE, ",,,,,,,2-30634,2.0,3.0,,,93.5,Product,1.0,"X2, /, Murkywaters, 19-20, Dragon, Optical, DRKSMOKE, ",,220.0,0.0
43860,,"X2, /, Prey, 18-19, Dragon, Optical, GDI, ",886895355841,5.0,,,,N,X2 / Prey 18-19,220.0,,,,,Dragon Optical,,,by product,,"X2, /, Prey, 18-19, Dragon, Optical, GDI, ","X2, /, Prey, 18-19, Dragon, Optical, GDI, ",4.0,,,,2.0,P,,,Y,,,,220.0,,,,,X2 / Prey 18-19,11140_0.jpg,,Gear/Goggles/Adult,"X2, /, Prey, 18-19, Dragon, Optical, GDI, ",,X2 / Prey 18-19,"X2, /, Prey, 18-19, Dragon, Optical, GDI, ",N,,,,,,"X2, /, Prey, 18-19, Dragon, Optical, GDI, ",,,,,,,2-11140,0.0,3.0,,,93.5,Product,1.0,"X2, /, Prey, 18-19, Dragon, Optical, GDI, ",,220.0,0.0
43861,,"X2, /, Skyline, 18-19, Dragon, Optical, DKS, ",886895355810,5.0,,,,N,X2 / Skyline 18-19,220.0,,,,,Dragon Optical,,,by product,,"X2, /, Skyline, 18-19, Dragon, Optical, DKS, ","X2, /, Skyline, 18-19, Dragon, Optical, DKS, ",4.0,,,,2.0,P,,,Y,,,,220.0,,,,,X2 / Skyline 18-19,11142_0.jpg,,Gear/Goggles/Adult,"X2, /, Skyline, 18-19, Dragon, Optical, DKS, ",,X2 / Skyline 18-19,"X2, /, Skyline, 18-19, Dragon, Optical, DKS, ",N,,,,,,"X2, /, Skyline, 18-19, Dragon, Optical, DKS, ",,,,,,,2-11142,0.0,3.0,,,93.5,Product,1.0,"X2, /, Skyline, 18-19, Dragon, Optical, DKS, ",,220.0,0.0
43862,,"X2, /, Split, 19-20, Dragon, Optical, BLUAMB, ",886895308816,5.0,,,,N,X2 / Split 19-20,220.0,,,,,Dragon Optical,,,by product,,"X2, /, Split, 19-20, Dragon, Optical, BLUAMB, ","X2, /, Split, 19-20, Dragon, Optical, BLUAMB, ",4.0,,,,2.0,P,,,Y,,,,220.0,,,,,X2 / Split 19-20,21467_0.jpg,,Gear/Goggles/Adult,"X2, /, Split, 19-20, Dragon, Optical, BLUAMB, ",,X2 / Split 19-20,"X2, /, Split, 19-20, Dragon, Optical, BLUAMB, ",N,,,,,,"X2, /, Split, 19-20, Dragon, Optical, BLUAMB, ",,,,,,,2-21467,0.0,3.0,,,83.6,Product,1.0,"X2, /, Split, 19-20, Dragon, Optical, BLUAMB, ",,220.0,0.0
43863,,"X2, /, Split, Af, 19-20, Dragon, Optical, , ",886895311274,5.0,,,,Y,X2 / Split Af 19-20,220.0,,,,,Dragon Optical,,,by option,,"X2, /, Split, Af, 19-20, Dragon, Optical, , ","X2, /, Split, Af, 19-20, Dragon, Optical, , ",4.0,,,,2.0,P,,,Y,,,,220.0,,,,,X2 / Split Af 19-20,,,Gear/Goggles/Adult,"X2, /, Split, Af, 19-20, Dragon, Optical, , ",,X2 / Split Af 19-20,"X2, /, Split, Af, 19-20, Dragon, Optical, , ",N,,,,,,"X2, /, Split, Af, 19-20, Dragon, Optical, , ",,,,,,,0-23225,2.0,3.0,,,93.5,Product,1.0,"X2, /, Split, Af, 19-20, Dragon, Optical, , ",,220.0,0.0
43864,,,886895311274,,,,,Y,,,,,,,,,,,,,,,,,,,,,,Y,,,,220.0,,,,,[RT]Color=GRNIONAM,,,,,,,,N,,,,,,,,,,,,,1-23225,1.0,,,,93.5,SKU,,,,220.0,0.0
43865,,,886895311281,,,,,Y,,,,,,,,,,,,,,,,,,,,,,Y,,,,220.0,,,,,[RT]Color=BLUAMB,,,,,,,,N,,,,,,,,,,,,,1-23226,1.0,,,,93.5,SKU,,,,220.0,0.0
43866,,"X2, /, Split, Af, 19-20, Dragon, Optical, GRNIONAM, ",,5.0,,,,Y,,[FIXED]220.0,,,,,,,,,,"X2, /, Split, Af, 19-20, Dragon, Optical, GRNIONAM, ","X2, /, Split, Af, 19-20, Dragon, Optical, GRNIONAM, ",4.0,,,,2.0,,,,Y,,,,220.0,,,,,,,,,"X2, /, Split, Af, 19-20, Dragon, Optical, GRNIONAM, ",,,,N,,,,,,"X2, /, Split, Af, 19-20, Dragon, Optical, GRNIONAM, ",,,,,,,1-23225,,3.0,,,,Rule,1.0,,,220.0,0.0
43867,,"X2, /, Split, Af, 19-20, Dragon, Optical, BLUAMB, ",,5.0,,,,Y,,[FIXED]220.0,,,,,,,,,,"X2, /, Split, Af, 19-20, Dragon, Optical, BLUAMB, ","X2, /, Split, Af, 19-20, Dragon, Optical, BLUAMB, ",4.0,,,,2.0,,,,Y,,,,220.0,,,,,,,,,"X2, /, Split, Af, 19-20, Dragon, Optical, BLUAMB, ",,,,N,,,,,,"X2, /, Split, Af, 19-20, Dragon, Optical, BLUAMB, ",,,,,,,1-23226,,3.0,,,,Rule,1.0,,,220.0,0.0
43868,,"X2S, /, Black, 19-20, Dragon, Optical, REDION, ",886895305600,5.0,,,,Y,X2S / Black 19-20,220.0,,,,,Dragon Optical,,,by product,,"X2S, /, Black, 19-20, Dragon, Optical, REDION, ","X2S, /, Black, 19-20, Dragon, Optical, REDION, ",4.0,,,,2.0,P,,,Y,,,,220.0,,,,,X2S / Black 19-20,16900_0.jpg,,Gear/Goggles/Adult,"X2S, /, Black, 19-20, Dragon, Optical, REDION, ",,X2S / Black 19-20,"X2S, /, Black, 19-20, Dragon, Optical, REDION, ",Y,,,,,,"X2S, /, Black, 19-20, Dragon, Optical, REDION, ",,,,,,,2-16900,1.0,3.0,,,93.5,Product,1.0,"X2S, /, Black, 19-20, Dragon, Optical, REDION, ",,220.0,0.0
43869,,"X2S, /, Black, Af, 19-20, Dragon, Optical, REDION, ",886895311854,5.0,,,,Y,X2S / Black Af 19-20,220.0,,,,,Dragon Optical,,,by product,,"X2S, /, Black, Af, 19-20, Dragon, Optical, REDION, ","X2S, /, Black, Af, 19-20, Dragon, Optical, REDION, ",4.0,,,,2.0,P,,,Y,,,,220.0,,,,,X2S / Black Af 19-20,,,Gear/Goggles/Adult,"X2S, /, Black, Af, 19-20, Dragon, Optical, REDION, ",,X2S / Black Af 19-20,"X2S, /, Black, Af, 19-20, Dragon, Optical, REDION, ",N,,,,,,"X2S, /, Black, Af, 19-20, Dragon, Optical, REDION, ",,,,,,,2-23227,2.0,3.0,,,93.5,Product,1.0,"X2S, /, Black, Af, 19-20, Dragon, Optical, REDION, ",,220.0,0.0
43870,,"X2S, /, Flaunt, 18-19, Dragon, Optical, GDI, ",886895356053,5.0,,,,N,X2S / Flaunt 18-19,220.0,,,,,Dragon Optical,,,by product,,"X2S, /, Flaunt, 18-19, Dragon, Optical, GDI, ","X2S, /, Flaunt, 18-19, Dragon, Optical, GDI, ",4.0,,,,2.0,P,,,Y,,,,220.0,,,,,X2S / Flaunt 18-19,16906_0.jpg,,Gear/Goggles/Adult,"X2S, /, Flaunt, 18-19, Dragon, Optical, GDI, ",,X2S / Flaunt 18-19,"X2S, /, Flaunt, 18-19, Dragon, Optical, GDI, ",N,,,,,"The X2s goggle is form and function incarnate. The Swiftlock Lens Technology makes swapping out the lenses a breeze to instantly adapt to changing light conditions. Coupled with Lumalens® color filtering technology that offer optimal contrast and clarity. 100% UV Protection, a stronger Super Anti-Fog coating and bonus lens are just icing on the cake.","X2S, /, Flaunt, 18-19, Dragon, Optical, GDI, ","<ul>
<li>Medium Fit </li>
<li>Swiftlock Lens Change System </li>
<li>Patented Frameless Technology  </li>
<li>Optically Correct 6-Base Injected Spherical Lens </li>
<li>200% Super Anti-Fog Coating </li>
<li>Armored Venting </li>
<li>100% UV Protection </li>
<li>Triple Layer Face Foam w/ Hypoallergenic Micro Fleece Lining </li>
<li>Silicone Strap Backing </li>
<li>Helmet Compatible </li>
</ul>","The X2s goggle is form and function incarnate. The Swiftlock Lens Technology makes swapping out the lenses a breeze to instantly adapt to changing light conditions. Coupled with Lumalens® color filtering technology that offer optimal contrast and clarity. 100% UV Protection, a stronger Super Anti-Fog coating and bonus lens are just icing on the cake.",,,,,2-16906,0.0,3.0,,,93.5,Product,1.0,"X2S, /, Flaunt, 18-19, Dragon, Optical, GDI, ",,220.0,0.0
43871,,"X2S, /, Galaxyrock, 19-20, Dragon, Optical, SILVRION, ",886895395700,5.0,,,,N,X2S / Galaxyrock 19-20,220.0,,,,,Dragon Optical,,,by product,,"X2S, /, Galaxyrock, 19-20, Dragon, Optical, SILVRION, ","X2S, /, Galaxyrock, 19-20, Dragon, Optical, SILVRION, ",4.0,,,,2.0,P,,,Y,,,,220.0,,,,,X2S / Galaxyrock 19-20,,,Gear/Goggles/Adult,"X2S, /, Galaxyrock, 19-20, Dragon, Optical, SILVRION, ",,X2S / Galaxyrock 19-20,"X2S, /, Galaxyrock, 19-20, Dragon, Optical, SILVRION, ",N,,,,,,"X2S, /, Galaxyrock, 19-20, Dragon, Optical, SILVRION, ",,,,,,,2-30637,0.0,3.0,,,93.5,Product,1.0,"X2S, /, Galaxyrock, 19-20, Dragon, Optical, SILVRION, ",,220.0,0.0
43872,,"X2S, /, Knight, Rider, 16-17, Dragon, Optical, DKSKFLBL, ",634741807460,5.0,,,,N,X2S / Knight Rider 16-17,270.0,,,,,Dragon Optical,,,by product,,"X2S, /, Knight, Rider, 16-17, Dragon, Optical, DKSKFLBL, ","X2S, /, Knight, Rider, 16-17, Dragon, Optical, DKSKFLBL, ",4.0,,,,2.0,P,,,Y,,,,119.0,,,,,X2S / Knight Rider 16-17,,,Gear/Goggles/Adult,"X2S, /, Knight, Rider, 16-17, Dragon, Optical, DKSKFLBL, ",,X2S / Knight Rider 16-17,"X2S, /, Knight, Rider, 16-17, Dragon, Optical, DKSKFLBL, ",N,,,,,,"X2S, /, Knight, Rider, 16-17, Dragon, Optical, DKSKFLBL, ",,,,,,,2-16835,0.0,3.0,,,60.75,Product,1.0,"X2S, /, Knight, Rider, 16-17, Dragon, Optical, DKSKFLBL, ",,270.0,0.0
43873,,"X2S, /, Knightrider, 19-20, Dragon, Optical, DRKSMOKE, ",886895302555,5.0,,,,N,X2S / Knightrider 19-20,240.0,,,,,Dragon Optical,,,by product,,"X2S, /, Knightrider, 19-20, Dragon, Optical, DRKSMOKE, ","X2S, /, Knightrider, 19-20, Dragon, Optical, DRKSMOKE, ",4.0,,,,2.0,P,,,Y,,,,240.0,,,,,X2S / Knightrider 19-20,11144_0.jpg,,Gear/Goggles/Adult,"X2S, /, Knightrider, 19-20, Dragon, Optical, DRKSMOKE, ",,X2S / Knightrider 19-20,"X2S, /, Knightrider, 19-20, Dragon, Optical, DRKSMOKE, ",N,,,,,,"X2S, /, Knightrider, 19-20, Dragon, Optical, DRKSMOKE, ",,,,,,,2-11144,0.0,3.0,,,102.0,Product,1.0,"X2S, /, Knightrider, 19-20, Dragon, Optical, DRKSMOKE, ",,240.0,0.0
43874,,"X2S, /, Realm, 18-19, Dragon, Optical, BLI, ",886895356046,5.0,,,,N,X2S / Realm 18-19,220.0,,,,,Dragon Optical,,,by product,,"X2S, /, Realm, 18-19, Dragon, Optical, BLI, ","X2S, /, Realm, 18-19, Dragon, Optical, BLI, ",4.0,,,,2.0,P,,,Y,,,,220.0,,,,,X2S / Realm 18-19,,,Gear/Goggles/Adult,"X2S, /, Realm, 18-19, Dragon, Optical, BLI, ",,X2S / Realm 18-19,"X2S, /, Realm, 18-19, Dragon, Optical, BLI, ",N,,,,,,"X2S, /, Realm, 18-19, Dragon, Optical, BLI, ",,,,,,,2-16904,0.0,3.0,,,93.5,Product,1.0,"X2S, /, Realm, 18-19, Dragon, Optical, BLI, ",,220.0,0.0
43875,,"X2S, /, Split, 19-20, Dragon, Optical, PPI, ",886895356039,5.0,,,,N,X2S / Split 19-20,220.0,,,,,Dragon Optical,,,by product,,"X2S, /, Split, 19-20, Dragon, Optical, PPI, ","X2S, /, Split, 19-20, Dragon, Optical, PPI, ",4.0,,,,2.0,P,,,Y,,,,220.0,,,,,X2S / Split 19-20,16903_0.jpg,,Gear/Goggles/Adult,"X2S, /, Split, 19-20, Dragon, Optical, PPI, ",,X2S / Split 19-20,"X2S, /, Split, 19-20, Dragon, Optical, PPI, ",N,,,,,,"X2S, /, Split, 19-20, Dragon, Optical, PPI, ",,,,,,,2-16903,0.0,3.0,,,93.5,Product,1.0,"X2S, /, Split, 19-20, Dragon, Optical, PPI, ",,220.0,0.0
43876,,"X2S, /, Succulents, 19-20, Dragon, Optical, DRKSMOKE, ",886895395694,5.0,,,,N,X2S / Succulents 19-20,220.0,,,,,Dragon Optical,,,by product,,"X2S, /, Succulents, 19-20, Dragon, Optical, DRKSMOKE, ","X2S, /, Succulents, 19-20, Dragon, Optical, DRKSMOKE, ",4.0,,,,2.0,P,,,Y,,,,220.0,,,,,X2S / Succulents 19-20,,,Gear/Goggles/Adult,"X2S, /, Succulents, 19-20, Dragon, Optical, DRKSMOKE, ",,X2S / Succulents 19-20,"X2S, /, Succulents, 19-20, Dragon, Optical, DRKSMOKE, ",N,,,,,,"X2S, /, Succulents, 19-20, Dragon, Optical, DRKSMOKE, ",,,,,,,2-30635,0.0,3.0,,,93.5,Product,1.0,"X2S, /, Succulents, 19-20, Dragon, Optical, DRKSMOKE, ",,220.0,0.0
43877,,"X2S, /, Tornbirch, 19-20, Dragon, Optical, SILVRION, ",886895395717,5.0,,,,Y,X2S / Tornbirch 19-20,220.0,,,,,Dragon Optical,,,by product,,"X2S, /, Tornbirch, 19-20, Dragon, Optical, SILVRION, ","X2S, /, Tornbirch, 19-20, Dragon, Optical, SILVRION, ",4.0,,,,2.0,P,,,Y,,,,220.0,,,,,X2S / Tornbirch 19-20,30636_0.jpg,,Gear/Goggles/Adult,"X2S, /, Tornbirch, 19-20, Dragon, Optical, SILVRION, ",,X2S / Tornbirch 19-20,"X2S, /, Tornbirch, 19-20, Dragon, Optical, SILVRION, ",Y,,,,,,"X2S, /, Tornbirch, 19-20, Dragon, Optical, SILVRION, ",,,,,,,2-30636,1.0,3.0,,,93.5,Product,1.0,"X2S, /, Tornbirch, 19-20, Dragon, Optical, SILVRION, ",,220.0,0.0
43878,,"X2S, /, Whiteout, 19-20, Dragon, Optical, PINKION, ",886895302579,5.0,,,,Y,X2S / Whiteout 19-20,220.0,,,,,Dragon Optical,,,by product,,"X2S, /, Whiteout, 19-20, Dragon, Optical, PINKION, ","X2S, /, Whiteout, 19-20, Dragon, Optical, PINKION, ",4.0,,,,2.0,P,,,Y,,,,220.0,,,,,X2S / Whiteout 19-20,16901_0.jpg,,Gear/Goggles/Adult,"X2S, /, Whiteout, 19-20, Dragon, Optical, PINKION, ",,X2S / Whiteout 19-20,"X2S, /, Whiteout, 19-20, Dragon, Optical, PINKION, ",Y,,,,,"The X2s goggle is form and function incarnate. The Swiftlock Lens Technology makes swapping out the lenses a breeze to instantly adapt to changing light conditions. Coupled with Lumalens® color filtering technology that offer optimal contrast and clarity. 100% UV Protection, a stronger Super Anti-Fog coating and bonus lens are just icing on the cake.","X2S, /, Whiteout, 19-20, Dragon, Optical, PINKION, ","<ul>
<li>Medium Fit </li>
<li>Swiftlock Lens Change System </li>
<li>Patented Frameless Technology  </li>
<li>Optically Correct 6-Base Injected Spherical Lens </li>
<li>200% Super Anti-Fog Coating </li>
<li>Armored Venting </li>
<li>100% UV Protection </li>
<li>Triple Layer Face Foam w/ Hypoallergenic Micro Fleece Lining </li>
<li>Silicone Strap Backing </li>
<li>Helmet Compatible </li>
</ul>","The X2s goggle is form and function incarnate. The Swiftlock Lens Technology makes swapping out the lenses a breeze to instantly adapt to changing light conditions. Coupled with Lumalens® color filtering technology that offer optimal contrast and clarity. 100% UV Protection, a stronger Super Anti-Fog coating and bonus lens are just icing on the cake.",,,,,2-16901,1.0,3.0,,,93.5,Product,1.0,"X2S, /, Whiteout, 19-20, Dragon, Optical, PINKION, ",,220.0,0.0
43879,,"X2S, /Mason, Blue, 18-19, Dragon, Optical, FLBLPO, ",634741811115,5.0,,,,Y,X2S /Mason Blue 18-19,270.0,,,,,Dragon Optical,,,by product,,"X2S, /Mason, Blue, 18-19, Dragon, Optical, FLBLPO, ","X2S, /Mason, Blue, 18-19, Dragon, Optical, FLBLPO, ",4.0,,,,2.0,P,,,Y,,,,189.0,,,,,X2S /Mason Blue 18-19,15041_0.jpg,,Gear/Goggles/Adult,"X2S, /Mason, Blue, 18-19, Dragon, Optical, FLBLPO, ",,X2S /Mason Blue 18-19,"X2S, /Mason, Blue, 18-19, Dragon, Optical, FLBLPO, ",Y,,,,,,"X2S, /Mason, Blue, 18-19, Dragon, Optical, FLBLPO, ",,,,,,,2-15041,2.0,3.0,,,54.0,Product,1.0,"X2S, /Mason, Blue, 18-19, Dragon, Optical, FLBLPO, ",,270.0,0.0
43880,,"X2S, 1, /, Mason, Grey, 18-19, Dragon, Optical, FLGRNPOL, ",634741811092,5.0,,,,Y,X2S 1 / Mason Grey 18-19,270.0,,,,,Dragon Optical,,,by product,,"X2S, 1, /, Mason, Grey, 18-19, Dragon, Optical, FLGRNPOL, ","X2S, 1, /, Mason, Grey, 18-19, Dragon, Optical, FLGRNPOL, ",4.0,,,,2.0,P,,,Y,,,,189.0,,,,,X2S 1 / Mason Grey 18-19,17311_0.jpg,,Gear/Goggles/Adult,"X2S, 1, /, Mason, Grey, 18-19, Dragon, Optical, FLGRNPOL, ",,X2S 1 / Mason Grey 18-19,"X2S, 1, /, Mason, Grey, 18-19, Dragon, Optical, FLGRNPOL, ",Y,,,,,,"X2S, 1, /, Mason, Grey, 18-19, Dragon, Optical, FLGRNPOL, ",,,,,,,2-17311,2.0,3.0,,,54.0,Product,1.0,"X2S, 1, /, Mason, Grey, 18-19, Dragon, Optical, FLGRNPOL, ",,270.0,0.0
43881,,"X2S, Lens, 16-17, Dragon, Optical, OPTFLBLU, ",634741814802,5.0,,,,Y,X2S Lens 16-17,90.0,,,,,Dragon Optical,,,by product,,"X2S, Lens, 16-17, Dragon, Optical, OPTFLBLU, ","X2S, Lens, 16-17, Dragon, Optical, OPTFLBLU, ",4.0,,,,2.0,P,,,Y,,,,90.0,,,,,X2S Lens 16-17,,,Gear/Goggles/Accessory,"X2S, Lens, 16-17, Dragon, Optical, OPTFLBLU, ",,X2S Lens 16-17,"X2S, Lens, 16-17, Dragon, Optical, OPTFLBLU, ",N,,,,,,"X2S, Lens, 16-17, Dragon, Optical, OPTFLBLU, ",,,,,,,2-16685,1.0,3.0,,,34.2,Product,1.0,"X2S, Lens, 16-17, Dragon, Optical, OPTFLBLU, ",,90.0,0.0
43882,,"X5, 18-19, Rossignol, Ski, , 43",3607682205111,5.0,,,,N,X5 18-19,150.0,,,,,Rossignol Ski,,,by product,,"X5, 18-19, Rossignol, Ski, , 43","X5, 18-19, Rossignol, Ski, , 43",4.0,,,,2.0,P,,,Y,,,,150.0,,,,,X5 18-19,,,Ski/Accessory,"X5, 18-19, Rossignol, Ski, , 43",,X5 18-19,"X5, 18-19, Rossignol, Ski, , 43",N,,,,,,"X5, 18-19, Rossignol, Ski, , 43",,,,,,,2-22397,0.0,3.0,,,65.52,Product,1.0,"X5, 18-19, Rossignol, Ski, , 43",,150.0,0.0
43883,,"Xa, Pro, 3D, 2016, Salomon, Ski, BLK, 12",887850308834,5.0,,,,Y,Xa Pro 3D 2016,144.95,,,,,Salomon Ski,,,by product,,"Xa, Pro, 3D, 2016, Salomon, Ski, BLK, 12","Xa, Pro, 3D, 2016, Salomon, Ski, BLK, 12",4.0,,,,2.0,P,,,Y,,,,144.95,,,,,Xa Pro 3D 2016,,,Lifestyle/Men/Shoes,"Xa, Pro, 3D, 2016, Salomon, Ski, BLK, 12",,Xa Pro 3D 2016,"Xa, Pro, 3D, 2016, Salomon, Ski, BLK, 12",N,,,,,,"Xa, Pro, 3D, 2016, Salomon, Ski, BLK, 12",,,,,,,2-15669,1.0,3.0,,,73.37,Product,1.0,"Xa, Pro, 3D, 2016, Salomon, Ski, BLK, 12",,144.95,0.0
43884,,"Xander, 18-19, Descente, , ",888423481374,5.0,,,,N,Xander 18-19,276.5,,,,,Descente,,,by option,,"Xander, 18-19, Descente, , ","Xander, 18-19, Descente, , ",4.0,,,,2.0,P,,,Y,,,,277.0,,,,,Xander 18-19,08818_0.jpg,,Gear/Jacket/Men,"Xander, 18-19, Descente, , ",,Xander 18-19,"Xander, 18-19, Descente, , ",N,,,,,,"Xander, 18-19, Descente, , ","<dt style=""font-size:14px;""><strong>Outer Fabric: EnerG Stretch</strong>
<ul>
<dt style=""font-size:14px;""><strong>Waterproof/Breathability: DTL 20k </strong>
<ul>
<dt style=""font-size:14px;""><strong>Insulation: 3M Thinsulate 60G</strong>
<ul>
<dt style=""font-size:14px;""><strong>Seam Sealing: Fully Taped</strong>
<ul>
<dt style=""font-size:14px;""><strong>Additional Features</strong>
<ul>
<li>Powder Skirt</li>
<li>Media Pocket</li>
<li>Lycra Cuffs</li>
<li>Pit Zips</li>
<li>Removable Hood</li>
<li>Inner Mesh Pocket</li>
</ul>",,,,,,0-08818,0.0,3.0,,,167.875,Product,1.0,"Xander, 18-19, Descente, , ",,395.0,0.0
43885,,,888423481374,,,,,N,,,,,,,,,,,,,,,,,,,,,,Y,,,,277.0,,,,,"[RT]Color=MSDBORGB,[RB]Size=M",,,,,,,,N,,,,,,,,,,,,,1-08818,0.0,,,,167.875,SKU,,,,395.0,0.0
43886,,,888423481381,,,,,N,,,,,,,,,,,,,,,,,,,,,,Y,,,,276.5,,,,,"[RT]Color=MSDBORGB,[RB]Size=L",,,,,,,,N,,,,,,,,,,,,,1-08819,0.0,,,,167.875,SKU,,,,395.0,0.0
43887,,,888423481268,,,,,N,,,,,,,,,,,,,,,,,,,,,,Y,,,,276.5,,,,,"[RT]Color=LIMMSDBK,[RB]Size=L",,,,,,,,N,,,,,,,,,,,,,1-08820,0.0,,,,167.875,SKU,,,,395.0,0.0
43888,,,888423481275,,,,,N,,,,,,,,,,,,,,,,,,,,,,Y,,,,276.5,,,,,"[RT]Color=LIMMSDBK,[RB]Size=XL",,,,,,,,N,,,,,,,,,,,,,1-08821,0.0,,,,167.875,SKU,,,,395.0,0.0
43889,,"Xander, 18-19, Descente, MSDBORGB, M",,5.0,,,,N,,[FIXED]277.0,,,,,,,,,,"Xander, 18-19, Descente, MSDBORGB, M","Xander, 18-19, Descente, MSDBORGB, M",4.0,,,,2.0,,,,Y,,,,277.0,,,,,,08818_0.jpg,,,"Xander, 18-19, Descente, MSDBORGB, M",,,,N,,,,,,"Xander, 18-19, Descente, MSDBORGB, M",,,,,,,1-08818,,3.0,,,,Rule,1.0,,,395.0,0.0
43890,,"Xander, 18-19, Descente, MSDBORGB, L",,5.0,,,,N,,[FIXED]276.5,,,,,,,,,,"Xander, 18-19, Descente, MSDBORGB, L","Xander, 18-19, Descente, MSDBORGB, L",4.0,,,,2.0,,,,Y,,,,276.5,,,,,,08819_0.jpg,,,"Xander, 18-19, Descente, MSDBORGB, L",,,,N,,,,,,"Xander, 18-19, Descente, MSDBORGB, L",,,,,,,1-08819,,3.0,,,,Rule,1.0,,,395.0,0.0
